School Name,State,City,Ranking,Online,Total_Tuition_Cost,Program_Years_Full_Time,Min_Quant_GRE_Score,Min_Undergraduate_GPA,Median_Salary_10yr,Need_GRE,Institution Type
Auburn University,AL,Auburn,150,1,28470,1.5,150,2.75,105400,1,Public
Stevens Institute of Technology,NJ,Hoboken,158,0,48372,1.5,155,3,144300,1,Private
Stevens Institute of Technology,NJ,Hoboken,158,1,48372,1.5,155,3,144300,1,Private
Texas Tech University,TX,Lubbock,163,0,24348,1,N/A,3,106300,0,Public
Texas Tech University,TX,Lubbock,163,1,24348,1,N/A,3,106300,0,Public
University of Vermont,VT,Burlington,164,0,51600,1.5,N/A,3,101900,0,Public
University of Denver,CO,Denver,165,0,47916,1.5,N/A,2.5,107300,0,Private
University of Denver,CO,Denver,165,1,47916,1.5,N/A,2.5,107300,0,Private
University of the Pacific,CA,Stockton,166,0,49120,2,N/A,2.65,112100,0,Private
Michigan Technological University,MI,Houghton,167,0,40290,1.5,N/A,2.85,114700,0,Public
Fordham University,NY,New York City,168,0,41400,1.5,N/A,3,118200,0,Private
University of San Francisco,CA,San Francisco,169,0,54425,1.5,155,3,114400,1,Private
Rochester Institute of Technology,NY,Rochester,178,0,52092,1,N/A,3,105200,0,Private
Rochester Institute of Technology,NY,Rochester,178,1,37110,1,N/A,3,105200,0,Private
University at Albany-SUNY,NY,Albany,187,0,21194,1.5,N/A,3,106000,0,Public
University of Kansas,KS,Lawrence,188,1,21000,1.5,N/A,3,100800,0,Public
New Jersey Institute of Technology,NJ,Newark,189,0,50010,2,160,3,124400,1,Public
Florida Atlantic University,FL,Boca Raton,192,0,27825,1.5,155,3,92100,1,Public
Colorado State University,CO,Fort Collins,199,0,29515,1,155,3,97800,1,Public
Colorado State University,CO,Fort Collins,199,1,24330,1,155,3,97800,1,Public
Temple University,PA,Philadelphia,200,0,47010,1.5,155,3,95800,1,Public
Oklahoma State University,OK,Stillwater,204,0,41370,2,145,3,99700,1,Public
Oklahoma State University,OK,Stillwater,204,1,20175,2,145,3,99700,1,Public
California State University-East Bay,CA,Hayward,207,0,23436,1.5,N/A,2.5,104400,0,Public
University of Kentucky,KY,Lexington,209,0,49842,1.5,N/A,3,95900,0,Public
Loyola University of Maryland,MD,Baltimore,210,1,27745,2,N/A,3,121600,0,Private
University of St. Thomas,MN,Minneapolis,213,0,34890,2,N/A,3,113300,0,Private
Seton Hall University,NJ,South Orange,215,1,42030,1.5,N/A,3,104800,0,Private
Ramapo College of New Jersey,NJ,Mahwah,223,0,35610,2,N/A,3,97800,0,Public
Seattle University,WA,Seattle,225,0,41085,2,N/A,3,115700,0,Private
DePaul University,IL,Chicago,227,1,39690,1.5,N/A,3,108300,0,Private
University of North Texas,TX,Denton,234,0,16488,2,N/A,3.2,92600,0,Public
Colorado School of Mines,CO,Golden,235,0,68070,1.5,N/A,3,142800,0,Public
University of Nevada-Reno,NV,Reno,236,0,32182,2,N/A,3,96300,0,Public
New College of Florida,FL,Sarasota,237,0,44206,2,N/A,3,92500,0,Public
Georgia State University,GA,Atlanta,241,0,45000,1,N/A,3,90900,0,Public
Pace University,NY,New York City,243,0,41250,1,N/A,3,111800,0,Private
Pace University,NY,New York City,243,1,31500,1,N/A,3,111800,0,Private
Chapman University,CA,Orange,246,0,54095,2,146,3,102100,1,Private
Adelphi University,NY,Garden City,249,0,42600,1.5,N/A,3,94800,0,Private
